agency_name,addr1,addr2
Tonkawa Tribal Police Department,# 1 Rush Buffalo Rd.,PO Box 277
Tonto Apache Tribal Police Department,Tonto Apache Reservation #30, 
Tooele City Police Department,323 North Main, 
Tooele County Sheriff's Office,47 S Main St, 
Tool Police Department,701 N. Tool Dr., 
Toole County Sheriff's Office,Po Box 550,235 Deerlodge
Toombs County Sheriff's Office,357 Nw Broad St,Ste #1
Toomsboro Police Dept,Post Office Box 67, 
Topeka Police,101 North Main Street,Post Office Box 127
Topeka Police Department,320 S Kansas St Suite 100, 
Topeka USD #501 Police,2751 Sw East Circle Dr S,Bldg 1
Toppenish Police Department,1 West First Avenue, 
Topsail Beach Police Department,812 South Anderson Blvd, 
Topsfield Police Department,210 Boston St, 
Topsham Police Department,100 Main Street, 
Toronto Police Department,P.O. Box 412,305 North 5th Street
Torrance County Sheriff's Office,Po Box 498, 
Torrance Police Department,3300 Civic Center Drive, 
Torrington Police Department,576 Main Street, 
Torrington Police Dept,2042 East A, 
Totowa Police,537 Totowa Road, 
Toulon Police Dept,120 N Franklin Street, 
Towamencin Township Police Department,1090 Troxel Road, 
Towanda Borough Police Department,10 Park Street, 
Towanda Police Department,Po Box 114, 
Tower City Borough Police Department,219 E Colliery Avenue, 
Tower Lakes Police Dept,400 N Rt 59, 
Town And Country Police Department,1011 Municipal Center Drive, 
Town Creek Police Department,Post Office Box 190, 
Towner County Sheriff's Office,Po Box 366,315 2nd St
Towns County Sheriff's Office,4070A State Highway 339, 
Townsend Police Department,Po Box 137, 
Townsend Police Department,P.O. Box 307, 
Towson University Police,8000 York Road,Towson University Police
Tracy City Police Department,P.O. Box 277, 
Tracy Police Department,Po Box 318, 
Tracy Police Department,336 Morgan St., 
Tracy Police Department,1000 Civic Center Drive, 
Trafalgar Police,Post Office Box 7, 
Trafford Borough Police Department,430 Brinton Avenue,P.O. Box 83
Trafford Police Department,9239 East Commercial Avenue, 
Trail Creek Police,209 Rainbow Trail, 
Traill County Sheriff's Office,Po Box 279, 
Trainer Borough Police Department,824 Main Street, 
Transylvania County Sheriff's Office,32 E Morgan St, 
Trappe Police Department,"4011 Powell Ave., P.O. Box 162", 
Travelers Rest Police Department,6711 State Park Road, 
Traverse City Police Department,851 Woodmere Avenue, 
Traverse County Sheriff's Office,Po Box 826,"Courthouse, 203 7th St N"
Travis County Constable Pct. 1,1811 Springdale Rd Ste 120, 
Travis County Constable Pct. 2,10409 Burnet Rd Suite 150, 
Travis County Constable Pct. 3,"8656-B Hwy 71 West, Suite E", 
Travis County Constable Pct. 4,"4011 Mckinney Falls Pkwy, Ste 1100",4011 mckinney falls pkwy suite 1100
Travis County Constable Pct. 5,1000 Guadalupe St Ste 111, 
Travis County Sheriff's Office,P.O. Box 1748, 
Treasure County Sheriff's Office,Po Box 511, 
Treasure Island Police Department,180  108Th Avenue, 
Tredyffrin Township Police Department,1100 Duportail Road, 
Trego County Sheriff's Office,525 Warren Ave, 
Tremont Borough Police Department,"139 Clay Street, Suite 2", 
Tremont City Police Department,P.O. Box 143,26 East Main Street
Tremont Police Dept,211 South Sampson Street,P. O. Box 144
Tremonton Police Department,125 S 100 W,PO Box 100
Trempealeau County Sheriff's Office,36245 Main St,PO Box 67
Trempealeau Police Department,24455 Third Street, 
Trent Woods Police Department,912 Country Club Drive, 
Trenton Police,225 North Clinton Avenue, 
Trenton Police Department,2872 West Jefferson, 
Trenton Police Department,P. O. Box 518, 
Trenton Police Department,Po Box 36, 
Trenton Police Department,111 S.E. 5Th Avenue, 
Trenton Police Department,P.O. Box 44, 
Trenton Police Department,1001 E 17Th St   Po Box 188, 
Trenton Police Department,309 S. College Street, 
Trenton Police Department,11 East State Street, 
Trenton Police Dept,25 W Indiana St, 
Trenton Township Police Department,1071 Highway 33 East, 
Treutlen County Sheriff's Office,Po Box 316,110 Third St
Trezevant Police Department,P.O. Box 100, 
Tri-Cities Airport Public Safety Department,P.O. Box 1055, 
Tri-County Technical College Dept of Public Safety,Po Box 587, 
Tri-State Airport Police Department,1449 Airport Road, 
Triadelphia Police Department,PO BOX 177, 
Triana Police Department,640 6Th Street, 
Trident Technical College Public Safety,Po Box 118067, 
Trigg County Sheriff's Office,Po Box 1690,31Jefferson Street
Trimble County Sheriff's Office,Po Box 56,Courthouse
Trimble Police Department,P.O. Box 215, 
Trimont Police Department,P.O. Box 412, 
Trinidad Police Department,463 Trinity Street,PO Box 390
Trinidad Police Department,P. O. Box 403,212 PARK STREET
Trinidad Police Dept,2309 East Main Street, 
Trinity County Constable Pct. 3,P O Box 644, 
Trinity County Constable Pct. 4,P O Box 38, 
Trinity County Sheriff's Office,Po Box 1228,101 Memorial Dr
Trinity County Sheriff's Office,Po Box 95,US 287 N Courthouse Sq
Trinity Police Department,P. O. Drawer 431, 
Trinity Police Department,35 Preston Drive, 
Trinity Valley Community College Police,100 Cardinal Drive, 
Trion Police Department,City Hall, 
Tripoli Police Department,303 S Main St, 
Tripp County Sheriff's Office,Po Box 531, 
Tripp Police Department,Po Box 428, 
Triton College Police Dept,2000 N 5Th Ave, 
Trophy Club Police Department,100 Municipal Drive, 
Trotwood Police Department,3035 Olive Road, 
Troup County Marshal's Office,118 Ridley Avenue, 
Troup County Sheriff's Office,130 Sam Walker Dr, 
Troup Police Department,P. O. Box 637, 
Trousdale County Sheriff's Office,315 E Main St, 
Troutdale Police Department,141 Se Dora Street, 
Troutman Police Department,Po Box 26, 
Troy Borough Police Department,110 Elmira St, 
Troy Housing Authority Dept of Public Safety,1776 Sixth Avenue, 
Troy Police Department,P.O. Box 246, 
Troy Police Department,Po Box 595, 
Troy Police Department,500 West Big Beaver, 
Troy Police Department,Post Office Box 549, 
Troy Police Department,124 East Main Street, 
Troy Police Department,Po Box 506, 
Troy Police Department,1 Eddys Lane, 
Troy Police Department,P. O. Box 389, 
Troy Police Department,120 Broughton Street, 
Troy Police Department,Po Box 823, 
Troy Police Department,200 Main Street, 
Troy Police Department,Po Box 597,14 Central Street
Troy Police Dept,116 E Market Street, 
Troy Township Water Patrol,N8870 Briggs Street, 
Troy University Police Department,113 Hamil Hall, 
Truckee Meadows Community College Police Department,7000 Dandini Blvd.,Rdmt 241
Truckee Police Department,10183 Truckee Airport Road, 
Truesdale Police Department,109 S Pickney St., 
Truman Police Department,214 W. Ciro St.,PO BOX 398
Truman State University Police,100 E Normal   Public Safety Bldg, 
Trumann Police Department,Po Box 120, 
Trumbull County Sheriff's Office,150 High St Nw, 
Trumbull Police Department,158 Edison Road, 
Truro Police Department,344 Route 6 Po Box 995, 
Trussville Police Department,Post Office Box 159, 
Truth or Consequences Police Department,507 Mcadoo, 
Tryon Police Department,291 N. Trade St., 
Tryon Police Department,PO Box 351, 
Tualatin Police Department,8650 Sw Tualatin Road, 
Tuckahoe Village Police Department,65 Main Street, 
Tucker County Sheriff's Office,318 2Nd St, 
Tuckerman Police Department,Po Box 1117, 
Tuckerton Borough Police,445 South Green Street, 
Tucson Airport Authority Police Department,7005 S. Plumer Avenue, 
Tucson Police Department,270 South Stone Street, 
Tucumcari Police Department,P.O. Box 1336, 
Tuftonboro Police Department,Po Box 98,240 Middle Road
Tukwila Police Department,6200 Southcenter Blvd, 
Tulalip Tribal Police,7720 Waterworks Rd., 
Tulare County Sheriff's Office,2404 W Burrel Ave,County Civic Center
Tulare Police Department,260 South M Street, 
Tularosa Police Department,609 B. St Francis, 
Tulelake Police Department,470 C Street, 
Tulia Police Department,200 N. Maxwell, 
Tullahoma Police Department,P.O. Box 807, 
Tullos Police Department,Po Box 749, 
Tullytown Borough Police Department,500 Main St, 
Tulpehocken Township Police Department,22 Rehrersburg Road, 
Tulsa Airport Police Dept.,P. O. Box 581838, 
Tulsa Community College Police,909 S. Boston, 
Tulsa County Sheriff's Office,500 S Denver Ave, 
Tulsa Police Department,600 Civic Center, 
Tumwater Police Department,555 Israel Road Sw, 
Tunica County Sheriff's Office,Po Box 25, 
Tunica Police Department,Post Office Box 395, 
Tunica-Biloxi Tribal Police Department,133 Melancon Rd., 
Tunkhannock Borough Police Department,126 Warren Street, 
Tunkhannock Township Police Department,438 State Road 92 South, 
Tunnel Hill Police Department,Post Office Box 159, 
Tuolumne County Sheriff's Office,28 Lower Sunset Dr, 
Tupelo Police Department,322 Court Street, 
Tupelo Police Department,P. O. Box 360, 
Tupper Lake Village Police Department,P.O. Box 750,53 Park St.
Turbeville Police Department,Po Box 70, 
Turkey Creek Police Department,Po Box 98, 
Turlock Police Department,900 North Palm Street, 
Turner County Sheriff's Office,1301 Industrial Dr, 
Turner County Sheriff's Office,Po Box 580,400 South Main
Turner Police Department,Po Box 456, 
Turrell Police Department,P.O. Box 489, 
Turtle Creek Borough Police Department,125 Monroeville Avenue, 
Turtle Lake Police Department,114 Martin Avenue East,P.O. Box 11
Tuscaloosa County Sheriff's Office,714 1/2 Greensboro Ave, 
Tuscaloosa Police Department,3801 Mill Creek Avenue, 
Tuscarawas County Sheriff's Office,2295 Reiser Ave Se, 
Tuscarawas Police Department,P.O. Box 388,522 East Cherry Street
Tuscarora Township Police Department,3546 Sturgeon Ave.,PO Box 208
Tuscola County Sheriff's Office,420 Court St, 
Tuscola Police Dept,204 North Parke, 
Tusculum Police Department,P.O. Box 5014, 
Tuscumbia Police Department,Post Office Box 967, 
Tushka Police Department,101 S. E. 1St Street, 
Tuskegee Police Department,1106 Notasulga Highway, 
Tustin Police Department,300 Centennial Way, 
Tuttle Police Department,P. O. Box 10, 
Tutwiler Police Department,Post Office Box 176, 
Tuxedo Park Village Police Department,Tuxedo Road, 
Tuxedo Town Police Department,"1075 Rte 17, S., Po Box 728",P.O. Box 728
Twiggs County Board of Education Police,P.O. Box 232, 
Twiggs County Sheriff's Office,Po Box 650,37 N Ash St
Twin Cities Police Department,250 Doherty Drive, 
Twin City Police Department,P.O. BOX 980, 
Twin Falls County Sheriff's Office,425 Shoshone St N,PO Box 146
Twin Falls Police Department,Po Box 3027, 
Twin Lakes Police Department,920 Lance Drive,P.O. Box 549
Twin Rivers District Police,Bldg. A,1333 Grand Ave.
Twin Valley Behavioral Health Care Police,2200 West Broad Street, 
Twin Valley Police Department,P.O. Box 28, 
Twinsburg Police Department,10075 Ravenna Road, 
Twisp Police Department,Po Box  278, 
Two Harbors Police Department,613 3Rd  Avenue, 
Two Rivers Police Department,1717 East Park Street,P.O. Box 87
Tybee Island Police Department,Post Office Box 1340, 
Tye Police Department,P. O. Box 369, 
Tyler City Marshal''s Office,Po Box 895, 
Tyler County Constable Pct. 1,Rt 1 Box 1008, 
Tyler County Constable Pct. 2,PO BOX 51, 
Tyler County Constable Pct. 3,1087 Cr 3255, 
Tyler County Constable Pct. 4,Po Box 354, 
Tyler County Sheriff's Office,Po Box 7,County Courthouse
Tyler County Sheriff's Office,702 N Magnolia St, 
Tyler I.S.D. Police Dept.,807 W. Glenwood, 
Tyler Junior College Campus Police Dept.,Henderson Hwy P.O. Box 9020, 
Tyler Park Police Dept.,P.O. Box 2039,Utilities Dept - Lake Patrol
Tyler Police Department,230 N. Tyler St., 
Tyler Police Department,711 West Ferguson St., 
Tylertown Police Department,433 Beulah Avenue, 
Tyndall Police Department,Po Box 29, 
Tyngsboro Police Department,20 Westford Road, 
Tyringham Police Department,Po Box 428, 
Tyrone Borough Police Department,1100 Logan Avenue, 
Tyrone Police Department,P. O. Box 234, 
Tyrone Police Department,945 Senoia Road, 
Tyronza Police Department,P.O. Box 275, 
Tyrrell County Sheriff's Office,405 Main St,PO Box 178
Ubly Police Department,2272 Bingham St., 
Udall Police Department,Po Box 410, 
Uhrichsville Police Department,305 East Second Street, 
Uinta County Sheriff's Office,77 County Rd 109, 
Uintah County Sheriff's Office,152 E 100 N, 
Ukiah Police Department,300 Seminary Avenue, 
Ullin Police Dept,P. O. Box 187,171 Railroad Street
Ulster County Sheriff's Office,Ulster County Law Enf Cntr,380 Boulevard
Ulster Town Police Department,1 Town Hall Road, 
Ulvalde County Constable,111 west north street, 
Ulysses Police Department,210 E Central, 
Umatilla County Sheriff's Office,4700 Nw Pioneer Pl, 
Umatilla Police Department,Post Office Box 2286, 
Umatilla Police Department,Po Box 130, 
Umatilla Tribal Police Department,73320 Highway 331,PO Box 638
Unadilla Township Police Department,126 Webb St.,PO Box 264
Unalaska Dept of Public Safety,Po Box 370, 
Unicoi County Sheriff's Office,102 N Main Ave, 
Union Beach Police,650 Poole Avenue, 
Union City Borough Police Department,13 S Main St, 
Union City Police,309 West Pearl Street, 
Union City Police,3715 Palisade Avenue, 
Union City Police Department,123 Hammond, 
Union City Police Department,P. O. Box 36, 
Union City Police Department,5060 Union St, 
Union City Police Department,34009 Alvarado-Niles Road, 
Union City Police Department,P.O. Box 9, 
Union City Police Department,401 East Elm Street, 
Union County Detectives,103 S. 2Nd St. 2Nd Floor,Union County Courthouse
Union County Police,300 North Avenue East, 
Union County Prosecutor's Chief,32 Rahway Avenue, 
Union County Sheriff's Office,Po Box 30,100 W Main St
Union County Sheriff's Office,1109 K Ave, 
Union County Sheriff's Office,PO Box C, 
Union County Sheriff's Office,940 Beasley St, 
Union County Sheriff's Office,300 Carter Ave, 
Union County Sheriff's Office,103 S 2Nd St, 
Union County Sheriff's Office,901 Main St,Ste 98
Union County Sheriff's Office,250 American Rd, 
Union County Sheriff's Office,302 N Pine St,County Courthouse
Union County Sheriff's Office,55 West Main St,"Courthouse, Rm 102"
Union County Sheriff's Office,307 W Market St,PO Box J
Union County Sheriff's Office,221 W 5Th St, 
Union County Sheriff's Office,"209 E. Main, Ste 250", 
Union County Sheriff's Office,Po Box 971, 
Union County Sheriff's Office,Elizabethtown Plaza,1st Floor Admin Bldg
Union County Sheriff's Office,106 E Union St, 
Union County Sheriff's Office,3344 Presson Rd, 
Union Gap Police Department,P.O. Box  3228, 
Union Parish Sheriff's Office,100 E Bayou St,Ste 101
Union Point Police Department,P.O. Box 233, 
Union Police,981 Caldwell Avenue, 
Union Police Department,119 South Church, 
Union Police Department,404 Bank Street, 
Union Police Department,118 North Main Street, 
Union Public Safety Department,215 Thompson Blvd, 
Union Springs Police Department,Post Office Box 549, 
Union Township Police Department,4312 Glen Este-Withamsville Road, 
Union Township Police Department,2197 Refugee Road Sw,P.O. Box 906
Union Township Police Department,1910 Davies Avenue, 
Uniontown Police Department,Po Box 87, 
